ID,LEXEME - curly ’unuhw,LEXEME - straight 'unuhw,ROOT,PARSE,DEFINITION,NOTE
4001,ts’lhtuyuwulh,ts'lhtuyuwulh,√tey,ts’lh=√tey=uwulh,canoe (co/fellow-racing-canoes),
4002,tqe’yun,tqe'yun,√tqey’un,√tqey’un,close off river (setting weirs),Possibly related to [√tuy].
4003,tun’tqe’yun,tun'tqe'yun,√tqey’un,tun’=√tqey’un’,month you set weirs,
4004,te’,te',√te’,√te’,none: (not) any," Occurs with 'uwu “not”,meaning “there isn’t any”."
4005,te’tsus,te'tsus,√te’tsus,√te’tsus,eight,
4006,ta’tssus,ta'tssus,√te’tsus,√te’tsus=as,eight dollars/round objects,
4007,te’tsselu,te'tsselu,√te’tsus,√te’tsus=elu,eight people,
4008,te’tsselh,te'tsselh,√te’tsus,√te’tsus=elh,eight times,
4009,te’tsulhp,te'tsulhp,√te’tsus,√te’tsus=ulhp,eight trees,Probably te'tssulhp.
4010,te’tssulhshe’,te'tssulhshe',√te’tsus,√te’tsus=ulhshe’,eighty,
4011,te’tssuqun,te'tssuqun,√te’tsus,√te’tsus=uqun,eight containers,
4012,te’tssuwulh,te'tssuwulh,√te’tsus,√te’tsus=uwulh,eight canoes,
4013,te’tssuwoonhw,te'tssuwoonhw,√te’tsus,√te’tsus=uwoonhw,eight years,
4014,te’ulh,te'ulh,√te’ulh,√te’ulh,spear point (for s'unum),Same as tth'aqwi'tun.
4015,te’ulh,te'ulh,√te’ulh,√te’ulh,"two-pointed spear (used for salmon,harpoon style)",
4016,tuhas,tuhas,√tu,√tu=as,facing,
4017,shtuha’th,shtuha'th,√tu,shhw=√tu=a’th,across (facing across),
4018,tulsthut,tulsthut,√tuls,√tuls=that,shuffle feet fast,
4019,tul’tuluw’,tul'tuluw',√tul’uw’,√tul’uw’=PL,wild,
4020,tumulqlh,tumulqlh,√tumulqlh,√tumulqlh,"starfish,sea star",
4021,tumulh,tumulh,√tumulh,√tumulh,ochre,
4022,tumulhalus,tumulhalus,√tumulh,√tumulh=alus,brown (ochre-coloured),
4023,shtum’alhus,shtum'alhus,√tumulh,s=hw=√tumulh=as=STA,face painted with ochre,
4024,sh’tum’ilhun’u,sh'tum'ilhun'u,√tumulh,s=hw=√tumulh=un’u=STA,painted face,
4025,shtum’tum’ilhun’u,shtum'tum'ilhun'u,√tumulh,s=hw=√tumulh=un’u=STA=PL,painted faces,
4026,tumulhupsum,tumulhupsum,√tumulh,√tumulh=upsem,"woodpecker: big,redheaded woodpecker",
4027,tumus,tumus,√tumus,√tumus,otter: sea otter," BC identifies this as a rare otter whose fur is expensive.  It is jet black but changes colour. Otters typically found in saltwater in the area are river otters,sq'eetl',which have taken over the niche of the decimated sea otter."
4028,tumuhw,tumuhw,√tumuhw,√tumuhw,"earth,ground",
4029,tum’ush,tum'ush,√tum’,√tum’=sh,wishing/craving something which you can get,See also tum'mut and shitum [√shitim].
4030,tam’mut,tam'mut,√tum’,√tum’=t=RDP,craving for something you cannot get,Note the apparent root-final reduplication. See also tum'ush and shitum [√shitim].
4031,tunuqsun,tunuqsun,√tun,√tun=uqsun,duck: mallard," Also used as a cover term for various other ducks: ring-necked female.,redhead female. and canvasback female. ducks; but they have other names as well."
4032,tuni’,tuni',√tuni’,√tuni’,that,tu cf. tthu. plus ni'.
4033,tuni’nulh,tuni'nulh,√tuni’,√tuni’=nilh,"over there,this",tuni' plus nilh.
4034,tun’a,tun'a,√tun’a,√tun’a,"this,this one,here",Possibly tu cf. tthu. plus na' √na'. Also pronounced tun'u.
4035,tunanulh,tunanulh,√tun’a,√tun’a=√nilh,"that,that one,that way",Also tnanulh.
4036,tun’aalhtun,tun'aalhtun,√tun’a,√tun’a=elhtun,these people,
4037,tupsum,tupsum,√tupsum,√tupsum,neck (back of neck),
4038,stqeeye’,stqeeye',√tuqeeyu’,s=√tuqeeyu’,wolf,
4039,tushou,tushou,√tushou,√tushou,canvas,
4040,tuw’e’nu,tuw'e'nu,√tuw,√tuw=un’u=STA,sloped (for ex land),Also a place name.
4041,stuwuqun,stuwuqun,√tuwuqun,s=√tuwuqun,"mourning,crying,wailing",
4042,tuw’tuw’uluqup,tuw'tuw'uluqup,√tuw’,√tuw’=eluqup=RDP,tree fungus,
4043,tuw’in’,tuw'in',√tuw’in’,√tuw’in’,"raw,uncooked",
4044,tuhwthulh,tuhwthulh,√tuhwthulh,√tuhwthulh,tongue,
4045,tuxwa’ts,tuxwa'ts,√tuxwa’ts,√tuxwa’ts,bow (archery),
4046,tuxwa’tsulhp,tuxwa'tsulhp,√tuxwa’ts,√tuxwa’ts=ulhp,yew,
4047,tuyul,tuyul,√tuy,√tuy=il,upstream: go upstream,
4048,tute’tiyul’,tute'tiyul',√tuy,√tuy=il=DIM=PROG,upstream: going upstream DIM,
4049,tuli’te’yul’,tuli'te'yul',√tuy,√tuy=il=DIM=PL=PROG,upstream: going upstream DIM PL,
4050,yu tetuyul’,yu tetuyul',√tuy,yu √tuy=il=PROG,upstream: going upriver,
4051,tuyt,tuyt,√tuy,√tuy=t,upstream,
4052,tuytxenum,tuytxenum,√tuy,√tuy=t=xen=m,upstream: walk upstream,
4053,yu tey’txe’num’,yu tey'txe'num',√tuy,yu √tuy=t=xen=m=PROG,upstream: walking upstream,
4054,hwtuy’tiim’,hwtuy'tiim',√tuy,hw=√tuy=m=RDP,tide reverses against the waterflow (for ex at the mouth of a river),"eg,at the mouth of a river."
4055,hwtuyuthun,hwtuyuthun,√tuy,hw=√tuy=athun,"retort,answer an angry person",
4056,ti’telhnulh,ti'telhnulh,√tuy,√tuy=ulhnulh=RDP,wind goes against the water,
4057,tuywut,tuywut,√tuy,√tuy=wut,upstream; north,
4058,stuywut,stuywut,√tuy,s=√tuy=wut,wind: a march wind,Direction of wind is uncertain.  Either from SE or W.
4059,tuyqtum,tuyqtum,√tuyq,√tuyq=t=m,move PASS,
4060,tuyqul,tuyqul,√tuyq,√tuyq=il,move (for ex move your camp),
4061,yu tuy’ti’qul’,yu tuy'ti'qul',√tuyq,yu √tuyq=il=PROG=PL,moving from place to place,
4062,tuyqiwstum,tuyqiwstum,√tuyq,√tuyq=iws=t=m,move possessions PASS,
4063,stuy’ti’,stuy'ti',√tuy’,s=√tuy’=RDP,"hoop,a toy hoop",Possibly from [√tuy].
4064,tu’i,tu'i,√tu’i,√tu’i,this (near me); here (also functions as an article),An article stem tu plus 'i ‘here’.
4065,tu’inulh,tu'inulh,√tu’i,√tu’i=nulh,"this,here",
4066,ti,ti,√ti,√ti,tea,
4067,shtihelu,shtihelu,√ti,shhw=√ti=elu,teapot,
4068,stitum’,stitum',√tim,s=√tim=STA,"hard,intensely",
4069,yu stitum’,yu stitum',√tim,yu s=√tim=PROG,fast: moving fast,
4070,timut,timut,√tim,√tim=t,hard: do it intensely,
4071,timuthut,timuthut,√tim,√tim=that,try harder,
4072,hwtitum’ulhtun’,hwtitum'ulhtun',√tim,hw=√tim=ulh=ten=RDP,"coach (noun,in canoe racing)",
4073,tintun,tintun,√tintun,√tintun,"bell,o'clock",
4074,stiqiw,stiqiw,√tiqiw,s=√tiqiw,horse,
4075,tiqiwaalh,tiqiwaalh,√tiqiw,√tiqiw=aalh,ride a horse or wagon,
4076,tiqw’,tiqw',√tiqw’,√tiqw’,hit or run into,
4077,stituqw’,stituqw',√tiqw’,s=√tiqw’=STA,"against,touching (for ex head of canoe is against a float or log)",
4078,tiqw’ut,tiqw'ut,√tiqw’,√tiqw’=t,"bump it,ram it",
4079,tiqw’utum,tiqw'utum,√tiqw’,√tiqw’=t=m,"bump it,ram it PASS",
4080,stishum’,stishum',√tishim,s=√tishim,slime (fish slime),
4081,st-shimuws,st-shimuws,√tishim,s=√tishim=iws,fish slime (used as bait),
4082,tiwun,tiwun,√tiwun,√tiwun,nephew (address form),
4083,stiwun,stiwun,√tiwun,s=√tiwun,"nephew,niece",
4084,stutiwun,stutiwun,√tiwun,s=√tiwun=PL,"nieces,nephews PL",
4085,stihwum,stihwum,√tihwum,s=√tihwum,"grouse: like the blue grouse,but smaller and ruffled"," See miit',blue grouse."
4086,stituxwa’qw,stituxwa'qw,√tixw,s=√tixw=a’qw=STA,bushy haired,Root not identified. Possibly related to [√ti'ya'xw].
4087,ti’ya’xw,ti'ya'xw,√ti’ya’xw,√ti’ya’xw,"busy,rush around",
4088,tituya’xw,tituya'xw,√ti’ya’xw,√ti’ya’xw=PROG,"busy (being busy),rushing around",Note the change in glottalization.
4089,stituya’xw,stituya'xw,√ti’ya’xw,s=√ti’ya’xw=STA,"busy,rushing",
4090,ti’ya’xween,ti'ya'xween,√ti’ya’xw,√ti’ya’xw=een,trouble,
4091,tlhut,tlhut,√tlhu,√tlhu=t,"spread,open (hand,arms,wings),flatten it out",
4092,stulhtsus,stulhtsus,√tlhu,s=√tlhu=tsus,"adze,a D-adze"," See also sht'umuw'ulh and sht'ut'umul's [√t'um']. Also sht'ulhtsusum' [√t'lhe],skwuschus [√kwus]."
4093,tuw’,tuw',√tuw’,√tuw’,"sort of,rather",A particle or possibly a prefix.
4094,stuq,stuq,√tqe,s=√tqe,log-jam,
4095,tqet,tqet,√tqe,√tqe=t,"challenge (for ex in bone game),refute",
4096,tqetham’sh,tqetham'sh,√tqe,√tqe=t=sam’sh,challenge me) 'i tsun thay'thut 'u kwthu 'i tse' m'i tqetham'sh,
4097,hwtqet,hwtqet,√tqe,hw=√tqe=t,"close door,turn off water",
4098,shtqa’lus,shtqa'lus,√tqe,s=hw=√tqe=alus=STA,eyes closed (from swelling),
4099,hwtqalust,hwtqalust,√tqe,hw=√tqe=alus=t,cover (his) eyes; cover a hole; turn off water,
4100,hwtuqul’ust,hwtuqul'ust,√tqe,hw=√tqe=alus=t=PROG,"covering (his) eyes,a hole; turning off water",
4101,hwtqast,hwtqast,√tqe,hw=√tqe=as=t,"block (entrance),divert"," Entry in dictionary,but without the example."
4102,hwtqusnuhw,hwtqusnuhw,√tqe,hw=√tqe=as=nehw,stop someone (manage to),
4103,tqep,tqep,√tqep,√tqep,"fish trap (type used in the sea,AJ)",
4104,tuqnamut,tuqnamut,√tqu,√tqu=namut,"find out,hear about",Possibly [√tqe].
4105,tuqnuhw,tuqnuhw,√tqu,√tqu=nehw,feel bad about,
4106,tqut,tqut,√tqu,√tqu=t,tell off,
4107,tq’els,tq'els,√tq’e,√tq’e=els,"break wind,fart",
4108,teq’ul’s,teq'ul's,√tq’e,√tq’e=els=PROG,"breaking wind,fart",
4109,tuqw,tuqw,√tqwa,√tqwa,tight,
4110,tuqwtuqw,tuqwtuqw,√tqwa,√tqwa=RDP,red snapper,
4111,stutiqw,stutiqw,√tqwa,s=√tqwa=STA,"tightened,screwed on tight",
4112,tus,tus,√t-su,√t-su,"arrive,get near",
4113,shtus,shtus,√t-su,shhw=√t-su,arrive: where one gets to,
4114,tutus,tutus,√t-su,√t-su=PROG,"arriving,getting there",
4115,tet-s,tet-s,√t-su,√t-su=PL,arrive PL,
4116,ti’tutus,ti'tutus,√t-su,√t-su=DIM=PROG,close: getting close DIM,
4117,tul’i’tutus,tul'i'tutus,√t-su,√t-su=DIM=PL=PROG,close: getting close DIM PL,
4118,stutes,stutes,√t-su,s=√t-su=STA,"close,near",
4119,stuli’tutes,stuli'tutes,√t-su,s=√t-su=DIM=PL=STA,"close,near DIM PL",
4120,sti’tutes,sti'tutes,√t-su,s=√t-su=DIM=STA,"close,near DIM",
4121,hwu stutes,hwu stutes,√t-su,hwu s=√t-su=STA,near: get close,
4122,t-sut,t-sut,√t-su,√t-su=t,near: get close to,
4123,tusnehw,tusnehw,√t-su,√t-su=nehw,close to (manage to get close),
4124,test,test,√t-su,√t-su=t=PROG,near: going closer to,
4125,tesnuhw,tesnuhw,√t-su,√t-su=nehw=PROG,near: getting closer to (managing to),
4126,stutesstuhw,stutesstuhw,√t-su,s=√t-su=stuhw=STA,near: have it close,
4127,stutesstum’,stutesstum',√t-su,s=√t-su=stuhw=m,near: placed near," Possibly ss reduces to s,as in the following."
4128,t-suthut,t-suthut,√t-su,√t-su=that,near: go close,
4129,tasthut,tasthut,√t-su,√t-su=that=PROG,near: going closer,
4130,t-sas,t-sas,√t-su,√t-su=as,"poor,pitiful",
4131,tusustal’hw,tusustal'hw,√t-su,√t-su=as=t=al’hw=PROG,torturing us,
4132,t-sastham’sh,t-sastham'sh,√t-su,√t-su=as=t=sam’sh,torture me; punish me,
4133,t-sasthelum,t-sasthelum,√t-su,√t-su=as=t=selum,pitiful: make me pitiful PASS,
4134,hwt-sequn,hwt-sequn,√t-su,hw=√t-su=equn,sore throat,
4135,shtusun’up,shtusun'up,√t-su,shhw=√t-su=unup=PROG,lawn roller,
4136,t-sunupt,t-sunupt,√t-su,√t-su=unup=t,pack ground using roller,
4137,hwt-siwun,hwt-siwun,√t-su,hw=√t-su=iwun,flat: go flat (tire),
4138,hwtusuwun’,hwtusuwun',√t-su,hw=√t-su=iwun=PROG,going flat (tire),
4139,t-siwut,t-siwut,√t-su,√t-su=iwun=t,flatten it,
4140,tusmin,tusmin,√t-su,√t-su=min,next (for ex next in age to),
4141,stutastul’,stutastul',√t-su,s=√t-su=tal=STA,close together,
4142,tu’iit-sh,tu'iit-sh,√t-she,√t-she=RDP,"narrow (in width,such as a trail or a board)",
4143,tetu’iit-sh,tetu'iit-sh,√t-she,√t-she=RDP=DIM,narrow DIM,
4144,tul’ul’ut-sh,tul'ul'ut-sh,√t-she,√t-she=PL,narrow PL,
4145,hwu tetu’iit-sh,hwu tetu'iit-sh,√t-she,hwu √t-she=RDP=DIM,narrow: got narrow DIM,
4146,t-shet,t-shet,√t-she,√t-she=t,comb out,
4147,sti’t-sha’th,sti't-sha'th,√t-she,s=√t-she=a’th=RDP,"narrow (river,road)",
4148,t-shi’qwum,t-shi'qwum,√t-she,√t-she=a’qw=m,comb your hair,
4149,tusha’qwum’,tusha'qwum',√t-she,√t-she=a’qw=m=PROG,combing your hair,
4150,t-shi’qwt,t-shi'qwt,√t-she,√t-she=a’qw=t,comb someone's hair,
4151,tusha’qwt,tusha'qwt,√t-she,√t-she=a’qw=t=PROG,combing someone's hair,
4152,tushnetsulhp,tushnetsulhp,√t-she,√t-she=nets=ulhp,saskatoon berry bush,
4153,tushnets,tushnets,√t-she,√t-she=nets,saskatoon berry,
4154,shteshqi’num’,shteshqi'num',√t-she,shhw=√t-she=qin=m=PROG,comb: three-pronged comb,
4155,t-shul’qun,t-shul'qun,√t-she,√t-she=al’=qen,card wool,
4156,tushul’qun’,tushul'qun',√t-she,√t-she=al’=qen=PROG,carding wool,
4157,shtushul’qun’,shtushul'qun',√t-she,shhw=√t-she=al’=qen=PROG,carder,
4158,t-shul’qut,t-shul'qut,√t-she,√t-she=al’=qen=t,card it (wool),
4159,tushul’qut,tushul'qut,√t-she,√t-she=al’=qen=t,carding it (wool),
4160,toohw,toohw,√toohw,√toohw,nine,
4161,toohwus,toohwus,√toohw,√toohw=as,nine dollars/round objects,
4162,toohwelu,toohwelu,√toohw,√toohw=elu,nine people,
4163,toohwelh,toohwelh,√toohw,√toohw=elh,nine times,
4164,toohwuqun,toohwuqun,√toohw,√toohw=equn,nine containers,
4165,toohwulhp,toohwulhp,√toohw,√toohw=ulhp,nine trees,
4166,toohwulhshe’,toohwulhshe',√toohw,√toohw=ulhshe’,ninety,
4167,toohwuwulh,toohwuwulh,√toohw,√toohw=uwulh,nine canoes,
4168,t-hwuwoonhw,t-hwuwoonhw,√toohw,√toohw=uwoonhw,nine years,
4169,tuhw,tuhw,√t-hwa,√t-hwa,uncovered,
4170,tutuhw,tutuhw,√t-hwa,√t-hwa=PROG,uncovered: getting uncovered,
4171,stutihw,stutihw,√t-hwa,s=√t-hwa=STA,uncovered,
4172,t-hwat,t-hwat,√t-hwa,√t-hwa=t,uncover someone (for ex pull off blankets),
4173,tuhwnehw,tuhwnehw,√t-hwa,√t-hwa=nehw,"uncover it (manage to,accidentally)",
4174,tehwt,tehwt,√t-hwa,√t-hwa=t=PROG,uncovering someone,Also pronounced tahwt.
4175,tahwnuhw,tahwnuhw,√t-hwa,√t-hwa=nehw=PROG,"uncovering it (mangage to,accidentally)",Also tehw nuhw.
4176,stutihwstuhw,stutihwstuhw,√t-hwa,s=√t-hwa=stuhw=STA,uncovered: keep or leave it uncovered,
4177,t-hwathut,t-hwathut,√t-hwa,√t-hwa=that,uncover self,
4178,tahwthut,tahwthut,√t-hwa,√t-hwa=that=PROG,uncovering self,
4179,t-hwels,t-hwels,√t-hwa,√t-hwa=els,uncover something,
4180,tahwul’s,tahwul's,√t-hwa,√t-hwa=els=PROG,uncovering something,
4181,t-hwumutsun,t-hwumutsun,√t,√t-hwumutsun,"September?,can gather food",
4182,t-hwuy,t-hwuy,√t-hwuy,√t-hwuy,just,Possibly t-hw-√huy.
4183,stu’e,stu'e,√t’e,s=√t’e,"like,same as",Also pronounced st'e. See √t'e.
4184,t’ats’a’,t'ats'a',√t’ats’a’,√t’ats’a’,roasting stick for deer or elk (a spit you push meat on)," See also t'eets' cross-pieces for pi'kwun,split barbecue stick."
4185,t’akw’,t'akw',√t’akw’,√t’akw’,home: go home,
4186,t’at’ukw’,t'at'ukw',√t’akw’,√t’akw’=IMP,home: going home,
4187,t’ut’a’t’ukw’,t'ut'a't'ukw',√t’akw’,√t’akw’=DIM=IMP,home: going home DIM,
4188,t’ul’a’t’ukw’,t'ul'a't'ukw',√t’akw’,√t’akw’=DIM=PL=IMP,home: going home DIM PL,
4189,yu t’at’ukw’,yu t'at'ukw',√t’akw’,yu √t’akw’=IMP,home: going home,
4190,t’ukw’stuhw,t'ukw'stuhw,√t’akw’,√t’akw’=stuhw,home: bring it home,
4191,t’at’ukw’stuhw,t'at'ukw'stuhw,√t’akw’,√t’akw’=stuhw=IMP,home: bringing it home,
4192,t’ukw’stam’sh,t'ukw'stam'sh,√t’akw’,√t’akw’=stuhw=am’sh,home: bring me home,
4193,t’ukw’stum,t'ukw'stum,√t’akw’,√t’akw’=stuhw=m,home: take home PASS,
4194,t’a’luxwut,t'a'luxwut,√t’a’luxw,√t’a’luxw=t,"send away,chase away",
4195,t’a’luxwutum,t'a'luxwutum,√t’a’luxw,√t’a’luxw=t=m,"send away,chase away PASS",
4196,t’at’ul’uxwutum’,t'at'ul'uxwutum',√t’a’luxw,√t’a’luxw=t=m=IMP,"sending away,chasing away PASS",
4197,t’at’ulhum’,t'at'ulhum',√t’alh,√t’alh=m=RDP,flea,
4198,t’ut’a’t’ulhum’,t'ut'a't'ulhum',√t’alh,√t’alh=m=RDP=DIM,flea DIM,
4199,t’amun,t'amun,√t’amun,√t’amun,wall,
4200,t’at,t'at,√t’at,√t’at,old (of the olden days),
4201,t’atulh,t'atulh,√t’at,√t’at=ulh,old (past),
4202,t’ahw,t'ahw,√t’ahw,√t’ahw,"downhill: go to water,downhill,to the beach",
4203,t’at’uhw,t'at'uhw,√t’ahw,√t’ahw=IMP,downhill: going down from the mountains,
4204,yu t’at’uhw,yu t'at'uhw,√t’ahw,yu √t’ahw=IMP,"downhill: going to water,going downhill,going to beach",
4205,t’uhwstuhw,t'uhwstuhw,√t’ahw,√t’ahw=stuhw,"downhill: bring down,take down from the mountains",
4206,t’ahwulhtsut,t'ahwulhtsut,√t’ahw,√t’ahw=lhts=t,downhill: bring something down for someone,
4207,t’i’t’uta’,t'i't'uta',√t’a’,√t’a’=DIM=IMP,pulled (muscle),
4208,st’ut’a’,st'ut'a',√t’a’,s=√t’a’=STA,pulled (for ex muscle),
4209,t’a’t,t'a't,√t’a’,√t’a’=t,pull it apart,
4210,t’ut’a’t,t'ut'a't,√t’a’,√t’a’=t=IMP,pulling it apart,
4211,t’ut’aa’t,t'ut'aa't,√t’a’,√t’a’=t=DUR,pulling it apart (keep on),
4212,t’i’t’ut’a’t,t'i't'ut'a't,√t’a’,√t’a’=t=DIM=IMP,pulling it apart DIM,
4213,t’a’els,t'a'els,√t’a’,√t’a’=els,pull something apart,
4214,t’it’ut’al’s,t'it'ut'al's,√t’a’,√t’a’=els=DIM,pulling something apart DIM (a little person doing it),
4215,t’a’hw,t'a'hw,√t’a’,√t’a’hw,balsam,
4216,st’e,st'e,√t’e,s=√t’e,"like (be like),similar,as though,as if",Also pronounced stu'e. See also √t'e.
4217,st’e,st'e,√t’e,s=√t’e,now (right now),
4218,st’e,st'e,√t’e,s=√t’e,"after that,meanwhile",
4219,sht’e,sht'e,√t’e,shhw=√t’e,"how it is,as it is",
4220,sht’e,sht'e,√t’e,shhw=√t’e,"how,when",
4221,yu sht’e,yu sht'e,√t’e,yu shhw=√t’e,during this time,
4222,hwu ste’,hwu ste',√t’e,hwu s=√t’e,like: become like,
4223,st’ut’e’,st'ut'e',√t’e,s=√t’e=PL,like (be like PL),
4224,st’i’t’e,st'i't'e,√t’e,s=√t’e=DIM,"like,similar DIM",
4225,st’astum’,st'astum',√t’e,s=√t’e=stuhw=m,like this: had her/him like this,
4226,sht’eewun’,sht'eewun',√t’e,s=hw=√t’e=iwun,"think,believe,wonder",
4227,sht’eewun’stum,sht'eewun'stum,√t’e,s=hw=√t’e=iwun=stuhw=m,thought to be,
4228,t’eets’,t'eets',√t’eets’,√t’eets’,"cross-sticks (used for smoking salmon,barbecuing meat)"," Used with meat when you put it on the pi'kwun,split barbecue stick. See also t'ats'a',roasting stick."
4229,t’eets’tun,t'eets'tun,√t’eets’,√t’eets’=ten,spit: barbecuing spit,
4230,t’ets’ulhp,t'ets'ulhp,√t’eets’,√t’eets’=ulhp,spirea (pink spirea),
4231,st’el,st'el,√t’el,s=√t’el,split and dried salmon,
4232,t’et’ul’ut,t'et'ul'ut,√t’el,√t’el=t=IMP,half-drying fish,This may refer to the cutting up of the fish for half-drying. This may refer to the cutting up of the fish for half-drying.
4233,t’et’ulum’,t'et'ulum',√t’el,√t’el=m=IMP,cutting fish for half-drying,
4234,t’eluw’,t'eluw',√t’eluw’,√t’eluw’,arm; wing,Also written t'eluw'.
4235,t’ult’eluw’,t'ult'eluw',√t’eluw’,√t’eluw’=PL,arms,
4236,t’emut,t'emut,√t’em,√t’em=t,guess (in the bonegame),
4238,t’emuth,t'emuth,√t’em,√t’em=t=sam’sh,guess me,
4239,t’emuls,t'emuls,√t’em,√t’em=els,guess (in the bonegame),The Nanaimo word is qulux.  WS.
4240,t’emukw’,t'emukw',√t’emukw’,√t’emukw’,roe: salmon eggs,
4241,t’em’hw,t'em'hw,√t’em’hw,√t’em’hw,gooseberries,
4242,t’um’hwtsus,t'um'hwtsus,√t’em’hw,√t’em’hw=tses,gooseberry bush,
4243,t’en,t'en,√t’en,√t’en,shaded,
4244,t’en,t'en,√t’en,√t’en,out of sight,[TEH].
4245,st’et’un’,st'et'un',√t’en,s=√t’en=STA,shaded,
4246,t’eent,t'eent,√t’en,√t’en=t,shade it,
4247,t’anthut,t'anthut,√t’en,√t’en=that,conceal self,
4248,sht’una’lus,sht'una'lus,√t’en,s=hw=√t’en=alus=STA,shaded eyes,
4249,sht’ut’un’a’lus,sht'ut'un'a'lus,√t’en,s=hw=√t’en=alus=STA,shaded eyes,
4250,t’upul,t'upul,√t’epul,√t’epul,cards: play cards,
4251,t’epul’,t'epul',√t’epul,√t’epul+STA,cards: playing cards STA,
4252,t’out’upul’,t'out'upul',√t’epul,√t’epul=IMP,"cards: playing cards,PROG",
4253,st’upul’,st'upul',√t’epul,s=√t’epul,cards,
4254,st’epi’,st'epi',√t’epi’,s=√t’epi’,log: rotten log,
4255,t’api’thut,t'api'thut,√t’epi’,√t’epi’=that,"rot (go rotten,of a log)"," See also t'eqe',salaal berries."
4256,t’eqe’,t'eqe',√t’eqe’,√t’eqe’,liver (human)," See also stsulum,deer liver."
4257,t’eqe’,t'eqe',√t’eqe’,√t’eqe’,salaal berries," See also t'eqe',liver human."
4258,t’eet’qe’,t'eet'qe',√t’eqe’,√t’eqe’=RDP,place name: an island across from Clemclem,
4259,st’et’uqe’,st'et'uqe',√t’eqe’,s=√t’eqe’=STA,bruised,
4260,sht’at’qa’us,sht'at'qa'us,√t’eqe’,s=hw=√t’eqe’=as=STA,bruised face,
4261,sht’ut’uqa’us,sht'ut'uqa'us,√t’eqe’,s=hw=√t’eqe’=as=STA,black (bruised) eye,
4262,t’et’utth’,t'et'utth',√t’etth’,√t’etth’=IMP,going from one place to another (no home),
4263,st’et’utth’,st'et'utth',√t’etth’,s=√t’etth’=STA,"scattered,spread out (for ex food served on a table)",
4264,t’etth’ut,t'etth'ut,√t’etth’,√t’etth’=t,"scatter it,pass it around (for ex food),broadcast seed",
4265,t’tth’ilum,t'tth'ilum,√t’etth’,√t’etth’=il=m,"scatter,spread,go all over the place (for ex a secret,weeds)",
4266,t’eyuq’,t'eyuq',√t’eyuq’,√t’eyuq’,mad (get mad),
4267,t’et’iyuq’,t'et'iyuq',√t’eyuq’,√t’eyuq’=IMP,"angry,mad",
4268,t’ut’e’t’iyuq’,t'ut'e't'iyuq',√t’eyuq’,√t’eyuq’=DIM=IMP,"angry,mad DIM",
4269,t’e’t,t'e't,√t’e’,√t’e’=t,try it,
4270,t’ut’e’t,t'ut'e't,√t’e’,√t’e’=t=IMP,trying it,
4271,t’a’thut,t'a'thut,√t’e’,√t’e’=that,"practice,try",
4272,t’ut’a’thut,t'ut'a'thut,√t’e’,√t’e’=that=IMP,"training,trying",
4273,st’uts’em,st'uts'em,√t’uts’em,s=√t’uts’em,"cedar branches,split and used for baskets",
4274,t’ulum’,t'ulum',√t’ulum’,√t’ulum’,cherry: wild cherry,
4275,t’ulum’ulhp,t'ulum'ulhp,√t’ulum’,√t’ulum’=ulhp,cherry tree (wild cherry),The bark is used for designs in baskets.
4276,t’aluxwutum,t'aluxwutum,√t’a’luxw,√t’a’luxw=t=m,forbidden to trespass,
4277,t’aluxwuthaam,t'aluxwuthaam,√t’a’luxw,√t’a’luxw=t=samum,forbidden to go: you are forbidden to go PASS,
4278,t’ulq,t'ulq,√t’ulq,√t’ulq,"spot (to spot,become spotty)",
4279,t’ult’ulq,t'ult'ulq,√t’ulq,√t’ulq=PL,"spot: stain,get spots PL",
4280,st’el’q,st'el'q,√t’ulq,s=√t’ulq=STA,"spotted,stained",
4281,hwu st’ul’t’el’q,hwu st'ul't'el'q,√t’ulq,hwu s=√t’ulq=STA=PL,stained PL,
4282,sht’el’quw’i’ts,sht'el'quw'i'ts,√t’ulq,shhw=√t’ulq=uw’i’ts=STA,spotted back,
4283,t’ul’qi’,t'ul'qi',√t’ul’qi’,√t’ul’qi’,soak,
4284,st’el’qi’,st'el'qi',√t’ul’qi’,s=√t’ul’qi’=STA,soaked,
4285,st’ul’t’el’qi’,st'ul't'el'qi',√t’ul’qi’,s=√t’ul’qi’=STA=PL,soaked PL,
4286,t’ul’qi’t,t'ul'qi't,√t’ul’qi’,√t’ul’qi’=t,soak it,
4287,t’ul’t’ul’qi’t,t'ul't'ul'qi't,√t’ul’qi’,√t’ul’qi’=t=PL,soak them,
4288,t’el’t’ul’qi’t,t'el't'ul'qi't,√t’ul’qi’,√t’ul’qi’=t=DUR=PL,soaking them 'on and off',
4289,t’umusht,t'umusht,√t’umush,√t’umush=t,braid (into mats),
4290,sht’em’shun’e’,sht'em'shun'e',√t’umush,s=√t’umush=un’u=STA,braided,See also st'um'eshun'u.
4291,st’um’eshun’u,st'um'eshun'u,√t’umush,s=√t’umush=un’u=STA,braided,See also sht'em'shun'e'.
4292,t’umshun’ut,t'umshun'ut,√t’umush,√t’umush=un’u=t,braid her hair,
4293,t’um’shun’unuhw,t'um'shun'unuhw,√t’umush,√t’umush=un’u=nehw,braid it (manage to),
4294,t’um’shun’um,t'um'shun'um,√t’umush,√t’umush=un’u=m,braid one's hair,See also t'um'shuneem'.
