ID,orthography,apaunicode,straight,root,parse,definition,note
3729,suli’seq’t,səliʔseq̓t,s;li÷seœt,√sq’e,√sq’e=t=DIM=PL=PROG,tearing them DIM,
3730,si’sq’et,siʔsq̓et,si÷sœet,√sq’e,√sq’e=t=DUR,tearing it (keep on),
3731,si’seq’t,siʔseq̓t,si÷seœt,√sq’e,√sq’e=t=DIM=PROG,splitting it; tearing it DIM,
3732,seq’suq’t,seq̓səq̓t,seœs;œt,√sq’e,√sq’e=t=PROG=PL,splitting wood PL,
3733,suq’suq’ut,səq̓səq̓ət,s;œs;œ;t,√sq’e,√sq’e=t=PL,split wood (for ex pile of wood) PL,
3734,seq’nuhw,seqn̓əxʷ,seq∫;xø,√sq’e,√sq’e=nehw=PROG,splitting it (managing to),
3735,susiq’stuhw,səsiq̓stəxʷ,s;siœst;xø,√sq’e,√sq’e=stuhw=STA,"split: got it split, torn",
3736,suq’suq’utum,səq̓səq̓ətəm,s;œs;œ;t;m,√sq’e,√sq’e=t=m=PL,split; tear PL,
3737,seq’suq’tum’,seq̓səq̓təm̓,seœs;œt;µ,√sq’e,√sq’e=t=m=PROG=PL,splitting them; tearing them,
3738,sq’els,sq̓els,sœels,√sq’e,√sq’e=els,split (do the splitting),
3739,shseq’ul’s,šseq̓əl̓s,ßseœ;¬s,√sq’e,√sq’e=els,wedge: splitting wedge,
3740,sq’uthut,sq̓əθət,sœ;ƒ;t,√sq’e,√sq’e=that,split (and you didn't want it to),
3741,sq’e’um,sq̓eʔəm,sœe÷;m,√sq’e,√sq’e=m,"split, tear off a piece for oneself",
3742,seq’ul’s,seq̓əl̓s,seœ;¬s,√sq’e,√sq’e=els=PROG,splitting (doing the splitting),Note the tense vowel.
3743,seq’um’,seq̓əm̓,seœ;µ,√sq’e,√sq’e=m=PROG,tearing off a piece for oneself,Also suq'um'.
3744,yu saq’thut,yə saq̓θət,y; saœƒ;t,√sq’e,yu √sq’e=that,breaking (daybreak),
3745,shseq’ul’s,šseq̓əl̓s,ßseœ;¬s,√sq’e,shhw=√sq’e=els=PROG,splitter (shake splitter),
3746,hwsq’utst,xʷsq̓əct,xøsœ;ct,√sq’e,hw=√sq’e=tsun=t,"split it, tear it in the middle",
3747,sq’emutth’t,sq̓emət̓ᶿt,sœem;˙t,√sq’e,√sq’e=emutth’=t,tear cloth into strips; tear wool batting into strips; split shakes,
3748,sq’emutth’nuhw,sq̓emətᶿn̓əxʷ,sœem;©∫;xø,√sq’e,√sq’e=emutth’=nehw,split: manage to split (for ex shakes) or tear (cloth into strips),
3749,sq’emutth’t,sq̓emət̓ᶿt,sœem;˙t,√sq’e,√sq’e=emutth’=t,"split cedar shakes, rip inner cedar bark into strips",
3750,suq’umutth’t,səq̓əmət̓ᶿt,s;œ;m;˙t,√sq’e,√sq’e=emutth’=t=PROG,tearing cloth into strips; be tearing wool batting into strips; be splitting shakes,
3751,suq’umutth’nuhw,səq̓əmətᶿn̓əxʷ,s;œ;m;©∫;xø,√sq’e,√sq’e=emutth’=nehw=PROG,tearing cloth into strips (managing to),
3752,suq’umutth’t,səq̓əmət̓ᶿt,s;œ;m;˙t,√sq’e,√sq’e=emutth’=t=PROG,"splitting cedar shakes, be ripping inner cedar bark into strips",
3753,sq’emutth’els,sq̓emət̓ᶿels,sœem;˙els,√sq’e,√sq’e=emutth’=els,split shakes,
3754,sq’emutth’els,sq̓emət̓ᶿels,sœem;˙els,√sq’e,√sq’e=emutth’=els,tear material (fabric) into strips,into strips.
3755,sq’emutth’elsstuhw,sq̓emət̓ᶿelsstəxʷ,sœem;˙elsst;xø,√sq’e,√sq’e=emutth’=els=stuhw,"make someone split shakes, tear material into strips",
3756,suq’um’utth’ul’sstuhw,səq̓əm̓ət̓ᶿəl̓sstəxʷ,s;œ;µ;˙;¬sst;xø,√sq’e,√sq’e=emutth’=els=stuhw=PROG,making someone split shakes,
3757,hwsq’utsun,xʷsq̓əcən,xøsœ;c;n,√sq’e,hw=√sq’e=utsun,split in half (rock),
3758,sq’ulwutum,sq̓əlwətəm,sœ;lw;t;m,√sq’e,√sq’e=ulwut=m,tear one's clothes,
3759,suq’ul’wutum’,səq̓əlw̓ətəm̓,s;œ;lΣ;t;µ,√sq’e,√sq’e=ulwut=m=PROG,tearing one's clothes,
3760,si’sq’al’wutum’,siʔsq̓alw̓ətəm̓,si÷sœalΣ;t;µ,√sq’e,√sq’e=ulwut=m=DUR,tearing up one's clothes (keep on),
3761,sq’ul’tsup,sq̓əl̓cəp,sœ;¬c;p,√sq’e,√sq’e=ul’tsup,split firewood,
3762,sq’ul’tsup,sq̓əl̓cəp,sœ;¬c;p,√sq’e,√sq’e=ul’tsup,split wood,
3763,sq’ul’tsup,sq̓əl̓cəp,sœ;¬c;p,√sq’e,√sq’e=ul’tsup,split wood,
3764,suq’ul’tsup,səq̓əl̓cəp,s;œ;¬c;p,√sq’e,√sq’e=ul’tsup=PROG,splitting wood,
3765,sq’ul’tsupt,sq̓əl̓cəpt,sœ;¬c;pt,√sq’e,√sq’e=ul’tsup=t,split it (wood); split wood for,
3766,sq’ul’tsupmint,sq̓əl̓cəpmint,sœ;¬c;pmint,√sq’e,√sq’e=ul’tsup=min=t,split wood for someone,
3767,sq’ul’tsupmint,sq̓əl̓cəpmint,sœ;¬c;pmint,√sq’e,√sq’e=ul’tsup=min=t,"split, chop his wood for him",
3768,suq’ul’tsupmin’t,səq̓əl̓cəpmin̓t,s;œ;¬c;pmi∫t,√sq’e,√sq’e=ul’tsup=min=t=PROG,"splitting, chopping his wood for him",
3769,sq’ul’tsupminth,sq̓əl̓cəpminθ,sœ;¬c;pminƒ,√sq’e,√sq’e=ul’tsup=min=t=sam’sh,"split, chop my wood for me",This form is older than sq'ul'tsupulhtstham'sh.
3770,sq’ul’tsupulhtstham’sh,sq̓əl̓cəpəɫcθam̓š,sœ;¬c;p;®cƒaµß,√sq’e,√sq’e=ul’tsup=lhts=t=sam’sh,"split, chop my wood for me",
3771,sq’itth’e’t,sq̓it̓ᶿeʔt,sœi˙e÷t,√sq’e,√sq’e=itth’e=t,tear fabric,
3772,sq’itth’e’nuhw,sq̓it̓ᶿen̓əxʷ,sœi˙e∫;xø,√sq’e,√sq’e=itth’e=nehw,tear fabric (manage to),
3773,suq’utth’e’t,səq̓ət̓ᶿeʔt,s;œ;˙e÷t,√sq’e,√sq’e=itth’e’=t=PROG,tearing clothing,
3774,suq’,səq̓,s;œ,√sq’u,√sq’u,"split, tear",
3775,sqw’e’,sq̓ʷeʔ,sœøe÷,√sqw’e’,√sqw’e’,eel,
3776,stiiluqup,sti:ləqəp,sti:l;q;p,√sti,√sti=iluqup,heard from afar,
3777,stth’ulhp,st̓ᶿəɫp,s˙;®p,√stth’,√stth’=ulhp,orange blossom (a bush),
3778,soup,sup,sup,√soup,√soup,soap,
3779,s’aa’lh,sʔa:l̓h,s÷a:¬h,√s’aa’lh,√s’aa’lh,our,
3780,shakw’,šak̓ʷ,ßa˚ø,√shakw’,√shakw’,bathed," See also shkw'am', swim, [√shkw'a]."
3781,shakw’ut,šak̓ʷət,ßa˚ø;t,√shakw’,√shakw’=t,bathe him/her,
3782,shahwukw’ut,šaxʷək̓ʷət,ßaxø;˚ø;t,√shakw’,√shakw’=t=PROG,bathing him/her,
3783,shakw’um,šak̓ʷəm,ßa˚ø;m,√shakw’,√shakw’=m,bathe (oneself),
3784,sha’lukw’um,šal̓ək̓ʷəm,ßa¬;˚ø;m,√shakw’,√shakw’=m=PL,bathe PL,
3785,yu shahwukw’um’,yə šaxʷək̓ʷəm̓,y; ßaxø;˚ø;µ,√shakw’,yu √shakw’=m=PROG,bathing (while going along),
3786,shshahwukw’um’,ššaxʷək̓ʷəm̓,ßßaxø;˚ø;µ,√shakw’,shhw=√shakw’=m=PROG,bathtub,
3787,shakw’um’ew’t-hw,šak̓ʷəm̓ew̓t-xʷ,ßa˚ø;µeΣt-xø,√shakw’,√shakw’=m=ew’t-hw,bath house,
3788,shkw’uyulh,šk̓ʷəyəɫ,ß˚ø;y;®,√shakw’,√shakw’=uylh,bathe a baby,
3789,shushkw’uy’lh,šəšk̓ʷəyl̓h,ß;ß˚ø;y¬h,√shakw’,√shakw’=uylh=PROG,bathing a baby,
3790,shushkw’uy’elh,šəšk̓ʷəy̓eɫ,ß;ß˚ø;¥e®,√shakw’,√shakw’=uylh=DUR,bathing a baby (keep on),
3791,shkw’uyulht,šk̓ʷəyəɫt,ß˚ø;y;®t,√shakw’,√shakw’=uylh=t,bathe the baby,
3792,shkw’uylhum,šk̓ʷəyɫəm,ß˚ø;y®;m,√shakw’,√shakw’=uylh=m,bathe your own baby,
3793,shushkw’uy’lhum’,šəšk̓ʷəyl̓həm̓,ß;ß˚ø;y¬h;µ,√shakw’,√shakw’=uylh=m=DUR,bathing your own baby (keep on),
3794,shkw’uyulhtsthamu,šk̓ʷəyəɫcθamə,ß˚ø;y;®cƒam;,√shakw’,√shakw’=uylh=lhts=t=samu,bathe the baby for you,See also shkw'uyulhulhtsthamu.
3795,shkw’uyulhulhtsthamu,šk̓ʷəyəɫəɫcθamə,ß˚ø;y;®;®cƒam;,√shakw’,√shakw’=uylh=lhts=t=samu,bathe the baby for you,See also shkw'uyulhtsthamu.
3796,shapul,šapəl,ßap;l,√shapul,√shapul,shovel," See also lupen, shovel."
3797,shaqwul,šaqʷəl,ßaqø;l,√shakw’,√shaqw=il,cross: go across the water,
3798,yushuqwshuqwul’,yəšəqʷšəqʷəl̓,y;ß;qøß;qø;¬,√shakw’,√shaqw=il=PL,crossing: criss-crossing the river when poling,
3799,shqwilustum,šqʷiləstəm,ßqøil;st;m,√shakw’,√shaqw=il=stuhw=m,take across the water,Possibly [√shaqw-il-as-stuhw-m].
3800,hun’shaqw,hən̓šaqʷ,h;∫ßaqø,√shakw’,hun’=√shaqw,across (arrive across the water),
3801,shqwun’u,šqʷən̓ə,ßqø;∫;,√shaqw’,√shaqw=un’u,"cross the straits, big water/ocean",Also listed under √shqwun'u.
3802,shaya’,šayaʔ,ßaya÷,√shaya’,√shaya’,maggot,
3803,sheey’,še:y̓,ße:¥,√sheey’,√sheey’,gills,
3804,shelumtsus,šeləmcəs,ßel;mc;s,√shelum,√shelum=tses,ring (finger ring),
3805,shelh,šeɫ,ße®,√shelh,√shelh,"road, path, door, way",Some speakers use the feminine article thu. in the sense ‘door’.
3806,she’shlh,šeʔšɫ,ße÷ß®,√shelh,√shelh=DIM,"trail, little path DIM",
3807,shul’e’shlh,šəl̓eʔšɫ,ß;¬e÷ß®,√shelh,√shelh=DIM=PL,"trails, little paths DIM",
3808,shuli’she’shlh,šəliʔšeʔšɫ,ß;li÷ße÷ß®,√shelh,√shelh=DIM=DIM=PL,"paths, doors DIM",
3809,she’ullh,šeʔəlɫ,ße÷;l®,√shelh,√shelh=PL,"roads, trails, doors",
3810,shum’shum’,šəm̓šəm̓,ß;µß;µ,√shem,√shem=RDP,low tide,
3811,sheshum’,šešəm̓,ßeß;µ,√shem,√shem=RDP,shallows,
3812,shemut,šemət,ßem;t,√shem,√shem=t,dry it; smoke it,
3813,shumnuhw,šəmnəxʷ,ß;mn;xø,√shem,√shem=nehw,"dry it, smoke it (manage to); manage to hang up the wash",
3814,sheshum’nuhw,šešəmn̓əxʷ,ßeß;m∫;xø,√shem,√shem=nehw=PROG,"drying it, smoking it (managing to); managing to hang up the wash",
3815,shumels,šəmels,ß;mels,√shem,√shem=els,smoke dry (some food),Also shemuls.
3816,shemuls,šeməls,ßem;ls,√shem,√shem=els,dry something (smoke half-dry),Also shumels.
3817,sheshumul’s,šešəməl̓s,ßeß;m;¬s,√shem,√shem=els=PROG,drying something (smoking half-dry),
3818,shshamus,ššaməs,ßßam;s,√shem,s=hw=√shem=as=STA,"smoke dried, smoke-dried fish",
3819,hwshamust,xʷšaməst,xøßam;st,√shem,hw=√shem=as=t,smoke it (fish),
3820,hwshamusnuhw,xʷšaməsnəxʷ,xøßam;sn;xø,√shem,hw=√shem=as=nehw,smoke it (fish) (manage to),manage to.
3821,hwshamust,xʷšaməst,xøßam;st,√shem,hw=√shem=as=t,"dry it (fish, half-smoked)",
3822,hwshashum’usnuhw,xʷšašəm̓əsnəxʷ,xøßaß;µ;sn;xø,√shem,hw=√shem=as=nehw=PROG,smoking it (fish) (managing to),managing to.
3823,hwshamusels,xʷšaməsels,xøßam;sels,√shem,hw=√shem=as=els,smoke fish,See also hwshumsels.
3824,hwshumsels,xʷšəmsels,xøß;msels,√shem,hw=√shem=as=els,smoke fish,See also hwshamusels.
3825,hwshashum’usul’s,xʷšašəm̓əsəl̓s,xøßaß;µ;s;¬s,√shem,hw=√shem=as=els=PROG,smoking fish,
3826,shama’qwt,šamaʔqʷt,ßama÷qøt,√shem,√shem=a’qw=t,smoke fishheads,
3827,shama’qwnuhw,šamaʔqʷnəxʷ,ßama÷qøn;xø,√shem,√shem=a’qw=nehw,smoke fishheads (manage to),
3828,shashuma’qwt,šašəmaʔqʷt,ßaß;ma÷qøt,√shem,√shem=a’qw=t=PROG,smoking fishheads,
3829,shashuma’qwnuhw,šašəmaʔqʷnəxʷ,ßaß;ma÷qøn;xø,√shem,√shem=a’qw=nehw=PROG,smoking fishheads (managing to),
3830,shama’qwels,šamaʔqʷels,ßama÷qøels,√shem,√shem=a’qw=els,smoke fishheads,
3831,shashuma’qwul’s,šašəmaʔqʷəl̓s,ßaß;ma÷qø;¬s,√shem,√shem=a’qw=els=PROG,smoking fishheads,
3832,shama’qwelsstuhw,šamaʔqʷelsstəxʷ,ßama÷qøelsst;xø,√shem,√shem=a’qw=els=stuhw,smoke fishheads: get someone to smoke fishheads,
3833,shashuma’qwul’sstuhw,šašəmaʔqʷəl̓sstəxʷ,ßaß;ma÷qø;¬sst;xø,√shem,√shem=a’qw=els=stuhw=PROG,smoke fishheads: getting someone to smoke fishheads,
3834,shushum’ul’wutum’,šəšəm̓əlw̓ətəm̓,ß;ß;µ;lΣ;t;µ,√shem,√shem=ulwut=m,clothesline,
3835,shun’shen’,šən̓šen̓,ß;∫ße∫,√shen,√shen=PL,out of the way,
3836,shes,šes,ßes,√shes,√shes,sealion,
3837,sheshuq’um’,šešəq̓əm̓,ßeß;œ;µ,√sheq’,√sheq’=m=RDP,placename: a point in Sansom Narrows,
3838,shet,šet,ßet,√shet,√shet,"lead, shot, gun shell",
3839,shewuq,šewəq,ßew;q,√shewuq,√shewuq,carrot,
3840,she’wulh,šew̓əɫ,ßeΣ;®,√she’wulh,√she’wulh,"vagina, vulva",
3841,she’t,šeʔt,ße÷t,√she’,√she’=t,put on lap,
3842,shu’et,šəʔet,ß;÷et,√she’,√she’=t=STA,have on lap,
3843,sheeyulh,še:yəɫ,ße:y;®,√she’,√she’=uylh,hold a baby,
3844,sheyulhtun,šeyəɫtən,ßey;®t;n,√she’,√she’=uylh=ten,"babysitter, caretaker of new dancer",See also lumeylhtun.
3845,hwshe’qint,xʷšeʔqint,xøße÷qint,√she’,hw=√she’=qin=t,"put on lap, with the head/back of neck resting on one's lap",
3846,hwshe’qinum,xʷšeʔqinəm,xøße÷qin;m,√she’,hw=√she’=qin=m,"put on lap, with the head/back of neck resting on one's lap",
3847,she’itun,šeʔitən,ße÷it;n,√she’itun,√she’itun,hair,
3848,hwu sheshi’utun’,xʷə šešiʔətən̓,xø; ßeßi÷;t;∫,√she’itun,hwu √she’itun=PROG,growing hair,
3849,shulmuhwtsus,šəlməxʷcəs,ß;lm;xøc;s,√shul,√shul=muhw=tses,rattles (hand rattles),See also kwutsmin and kwutsminshun [√kwets].
3850,shultsup,šəlcəp,ß;lc;p,√shul,√shul=tsup,flint,verify the root. Root not identified. Possibly the suffix is -ul'tsup.
3851,shul’akw’,šəl̓ak̓ʷ,ß;¬a˚ø,√shul’akw’,√shul’akw’,round,
3852,shul’u,šəl̓ə,ß;¬;,√shul’u,√shul’u,penis,
3853,shumen,šəmen,ß;men,√shumen,√shumen,"enemy, opponent",
3854,tsshumen,cšəmen,cß;men,√shumen,ts=√shumen,enemy: make enemy,
3855,shumuntun,šəməntən,ß;m;nt;n,√shumun,√shumun=ten,net: a big net like a dipnet pulled by two canoes,See also shumun'tun.
3856,shumun’tun,šəmən̓tən,ß;m;∫t;n,√shumun,√shumun’=ten,"fish trap, setting it is called we'wutun' (c",See also shumuntun.
3857,shumun’tun,šəmən̓tən,ß;m;∫t;n,√shumun,√shumun’=ten,net pulled by two canoes,
3858,shun’tsu,šən̓cə,ß;∫c;,√shun’tsu,√shun’tsu,catch: what one has caught or gathered,
3859,tsshun’tsu,cšən̓cə,cß;∫c;,√shun’tsu,ts=√shun’tsu,"get something (for ex game, berries)",
3860,hwshupmenqun,xʷšəpmenqən,xøß;pmenq;n,√shupmen,hw=√shupmen=qen,speak broken English,Probably from “shipman”.
3861,shuyulh,šəyəɫ,ß;y;®,√shuyulh,√shuyulh,"sibling: older brother, sister, cousin",See also sun'tl'e'. sqe'uq is younger sibling.
3862,shushiyulh,šəšiyəɫ,ß;ßiy;®,√shuyulh,√shuyulh=PL,"older brothers, sisters, cousins",#NAME?
3863,shuyq,šəyq,ß;yq,√shuyq,√shuyq,"ransack, look through for something",Agent subject.
3864,shey’q,šey̓q,ße¥q,√shuyq,√shuyq=PROG,"ransacking, going through looking for something",
3865,shuyqt,šəyqt,ß;yqt,√shuyq,√shuyq=t,"ransack it, go through looking it for something",
3866,shey’qt,šey̓qt,ße¥qt,√shuyq,√shuyq=t,"ransacking it, going trough it",
3867,shuyqwa’qwt,šəyqʷaʔqʷt,ß;yqøa÷qøt,√shuyq,√shuyq=a’qw=t,ransack through a dresser or basket,note the labialized consonant.
3868,shishuts’,šišəc̓,ßiß;ç,√shits’,√shits’=RDP,underbrush,
3869,shits’uthut,šic̓əθət,ßiç;ƒ;t,√shits’,√shits’=that,go into a thicket,
3870,shits’us,šic̓əs,ßiç;s,√shits’us,√shits’us,mast: the mast which extends out from the bow on a large canoe or ship,
3871,shik,šik,ßik,√shik,√shik,"shake (a shake, the ceremony of the Shakers)",
3872,shikus,šikəs,ßik;s,√shik,√shik=as,shaker (n,
3873,shiput,šipət,ßip;t,√ship,√ship=t,cut along it,
3874,shupmun,šəpmən,ß;pm;n,√ship,√ship=min,shavings (from woodworking),
3875,shuptun,šəptən,ß;pt;n,√ship,√ship=ten,knife,
3876,shi’shptun’,šiʔšptən̓,ßi÷ßpt;∫,√ship,√ship=ten=DIM,knife DIM,
3877,shul’i’shptun’,šəl̓iʔšptən̓,ß;¬i÷ßpt;∫,√ship,√ship=ten=DIM=PL,knives DIM,
3878,shpeentun,špe:ntən,ßpe:nt;n,√ship,√ship=en=ten,draw knife,
3879,shpiwsulhpt,špiwsəɫpt,ßpiws;®pt,√ship,√ship=iws=ulhp=t,strip bark from,
3880,shushpiw’sulhpt,šəšpiw̓səɫpt,ß;ßpiΣs;®pt,√ship,√ship=iws=ulhp=t=PROG,stripping bark from,
3881,shpiwst,špiwst,ßpiwst,√ship,√ship=iws=t,"plane it, shave it down",
3882,shupuw’st,šəpəw̓st,ß;p;Σst,√ship,√ship=iws=t=PROG,shaving a piece of wood,
3883,she’shpiw’st,šeʔšpiw̓st,ße÷ßpiΣst,√ship,√ship=iws=t=DUR,shaving around on a piece of wood (done to make knitting needles),
3884,shupqst,šəpqst,ß;pqst,√ship,√ship=qsun=t,sharpen it to a point,
3885,shupqsnuhw,šəpqsnəxʷ,ß;pqsn;xø,√ship,√ship=qsun=nehw,sharpen it to a point (manage to),Also shupqsunnuhw.
3886,shishupqst,šišəpqst,ßiß;pqst,√ship,√ship=qsun=t=PROG,sharpening it to a point,
3887,shitum,šitəm,ßit;m,√shitim,√shitim,wish for (what you see),See also tum'ush and tam'mut [√tum'].
3888,shit-shutum’,šitshətəm̓,ßitsh;t;µ,√shitim,√shitim=PROG=PL,wishing for PL,
3889,shishutum’,šišətəm̓,ßiß;t;µ,√shitim,√shitim=PROG,wishing for,
3890,shtimut,štimət,ßtim;t,√shitim,√shitim=t,want (to have) it,
3891,shushti’mut,šəštim̓ət,ß;ßtiµ;t,√shitim,√shitim=t=DUR,wanting to have it,
3892,shi’sha’lh,šiʔšal̓h,ßi÷ßa¬h,√shi’sha’lh,√shi’sha’lh,canoe: an old-time racing canoe,Possibly from Sechelt. shi'she'lh.
3893,shkw’am’,šk̓ʷam̓,ß˚øaµ,√shkw’a,√shkw’a=m,swim," See also t'itsum, swim surface. and shtem, swim underwater. See also √shakw', bathe."
3894,shi’shkw’am’,šiʔšk̓ʷam̓,ßi÷ß˚øaµ,√shkw’a,√shkw’a=m=PROG,swimming (v,
3895,shkw’alum’,šk̓ʷaləm̓,ß˚øal;µ,√shkw’a,√shkw’a=m=PL,swim PL,See also shulkw'am'.
3896,shulkw’am’,šəlk̓ʷam̓,ß;l˚øaµ,√shkw’a,√shkw’a=m=PL,swim PL,See also shkw'alum'.
3897,shuq,šəq,ß;q,√shqu,√shqu,finished (with work),
3898,shushuq,šəšəq,ß;ß;q,√shqu,√shqu=PROG,finishing,
3899,shushiq,šəšiq,ß;ßiq,√shqu,s=√shqu=STA,finished,
3900,shqut,šqət,ßq;t,√shqu,√shqu=t,finish it (work),
3901,shuqnehw,šəqnexʷ,ß;qnexø,√shqu,√shqu=nehw,finish it (manage to),
3902,sheqt,šeqt,ßeqt,√shqu,√shqu=t=PROG,finishing it,
3903,sheqnuhw,šeqnəxʷ,ßeqn;xø,√shqu,√shqu=nehw=PROG,finishing it (managing to),
3904,shushiqstuhw,šəšiqstəxʷ,ß;ßiqst;xø,√shqu,s=√shqu=stuhw=STA,finished: got it finished off,
3905,shquthut,šqəθət,ßq;ƒ;t,√shqu,√shqu=that,finishing it off,
3906,shaqthut,šaqθət,ßaqƒ;t,√shqu,√shqu=that=PROG,finishing off,
3907,shq’athum,šq̓aθəm,ßœaƒ;m,√shq’athum,√shq’athum,swing cradle for babies,Sort of a q'it'a' tied with a rope to a branch that is steamed and bent.
3908,shqwun’u,šqʷən̓ə,ßqø;∫;,√shqwun’u,√shqwun’u,"ocean, big water",But see shqwun'u under √shaqw.
3909,shtem,štem,ßtem,√shte,√shte=m,swim underwater (as a fish or seal),See also t'itsum swim on the surface.
3910,shutum’,šətəm̓,ß;t;µ,√shte,√shte=m=PROG,"swimming (fish, seal)",
3911,shoukwu,šukʷə,ßukø;,√shoukwu,√shoukwu,sugar,English loanword.
3912,shoukwu’elu,šukʷəʔelə,ßukø;÷el;,√shoukwu,√shoukwu=elu,Sugar bowl,
3913,shhwum’em’,šxʷəm̓em̓,ßxø;µeµ,√shhwum’em’,√shhwum’em’,empty (container); cleared (land),Possibly from]me'.
3914,shhwun’was,šxʷənw̓as,ßxø;nΣas,√shhwun’was,√shhwun’was,cloudy,
3915,shhwuw’weli,šxʷəww̓eli,ßxø;wΣeli,√shhwuw’weli,√shhwuw’weli,parents,Root not identified.
3916,shhwuw’weli,šxʷəww̓eli,ßxø;wΣeli,√shhwuw’weli,√shhwuw’weli,relatives," May refer to members of the larger family, as in the following, where q'ise'q has seen his uncles."
3917,taal,ta:l,ta:l,√taal,√taal,"leave shore, go out into the middle of the water or clearing, go on to the longhouse floor",
3918,tutaal’,təta:l̓,t;ta:¬,√taal,√taal=PROG,going out into water,
3919,ta’ult,taʔəlt,ta÷;lt,√tal’,√tal’=t,"learn, study, find out",
3920,tul’nuhw,təln̓əxʷ,t;l∫;xø,√tal’,√tal’=nehw,"know, find out, realize",
3921,tatul’ut,tatəl̓ət,tat;¬;t,√tal’,√tal’=t=PROG,"learning, studying, finding out",
3922,statul’stuhw,statəl̓stəxʷ,stat;¬st;xø,√tal’,s=√tal’=stuhw=STA,know,
3923,shtatul’stuhw,štatəl̓stəxʷ,ßtat;¬st;xø,√tal’,shhw=√tal’=stuhw=STA,know," Used with 'uwu te', to not know."
3924,tul’newut,təln̓ewət,t;l∫ew;t,√tal’,√tal’=nehw=ewut,find out PASS,
3925,tul’num,təln̓əm,t;l∫;m,√tal’,√tal’=nehw=m,"know, find out PASS",
3926,shtatul’stewut,štatəl̓stewət,ßtat;¬stew;t,√tal’,shhw=√tal’=stuhw=ewut,know PASS,See shtatul'stuhw.
3927,ta’la’qw,tal̓aʔqʷ,ta¬a÷qø,√tal’,√tal’=a’qw,"float (a boat float, log boom)",
3928,tul’ee’nu,təl̓e:n̓ə,t;¬e:∫;,√tal’,√tal’=ee’nu,understand,
3929,tul’ee’nut,təl̓e:n̓ət,t;¬e:∫;t,√tal’,√tal’=ee’nu=t,inform,
3930,sta’lus,stal̓əs,sta¬;s,√ta’lus,s=√ta’lus,"spouse (husband, wife)",Possibly related to [√tal'].
3931,tsta’lus,ctal̓əs,cta¬;s,√ta’lus,ts=√ta’lus,marry: get a wife or husband,
3932,statul’us,statəl̓əs,stat;¬;s,√ta’lus,s=√ta’lus=STA,married,
3933,sta’luw’,stal̓əw̓,sta¬;Σ,√ta’luw’,s=√ta’luw’,river,Also spelled sta'luw'.
3934,statluw’,statləw̓,statl;Σ,√ta’luw’,s=√ta’luw’=DIM,creek (river DIM),
3935,stul’atluw’,stəl̓atləw̓,st;¬atl;Σ,√ta’luw’,s=√ta’luw’=DIM=PL,creeks (rivers DIM),See also stutuluw'.
3936,stutuluw’,stətələw̓,st;t;l;Σ,√ta’luw’,s=√ta’luw’=PL=DIM,creeks (rivers DIM),See also stul'atluw'.
3937,stuta’tluw’,stətaʔtləw̓,st;ta÷tl;Σ,√ta’luw’,s=√ta’luw’=DIM=DIM,creek (river DIM),
3938,stulta’luw’,stəltal̓əw̓,st;lta¬;Σ,√ta’luw’,s=√ta’luw’=PL,rivers,
3939,shtatulh,štatəɫ,ßtat;®,√talh,shhw=√talh=RDP,platter,
3940,statum’,statəm̓,stat;µ,√tam,s=√tam=RDP,"warm, tepid (liquid)",
3941,stamush,staməš,stam;ß,√tamush,s=√tamush,warrior,
3942,taant,ta:nt,ta:nt,√tan,√tan=t,"go away, leave someone",Note vowel lengthing cf. reduplicated forms.
3943,tuta’tun’ut,tətaʔtən̓ət,t;ta÷t;∫;t,√tan,√tan=t=DIM,leaving someone DIM,
3944,tul’a’tun’ut,təl̓aʔtən̓ət,t;¬a÷t;∫;t,√tan,√tan=t=DIM=PL,leaving someone DIM PL,
3945,taantalu,ta:ntalə,ta:ntal;,√tan,√tan=t=alu,leave you PL,
3946,tatun’utham’sh,tatən̓əθam̓š,tat;∫;ƒaµß,√tan,√tan=t=sam’sh=PROG,leaving me,
3947,taantum,ta:ntəm,ta:nt;m,√tan,√tan=t=m,leave someone PASS,
3948,taqw’um,taq̓ʷəm,taœø;m,√taqw’,√taqw’=m,cough,
3949,staqw’um,staq̓ʷəm,staœø;m,√taqw’,s=√taqw’=m,"cold (noun, for ex a cough)",
3950,tatuqw’um’,tatəq̓ʷəm̓,tat;œø;µ,√taqw’,√taqw’=m=PROG,coughing,
3951,tahw,taxʷ,taxø,√tahw,√tahw,"right now, later, then, there",
3952,tahw,taxʷ,taxø,√tahw,√tahw,fully,
3953,taxwut,tax̌ʷət,ta≈ø;t,√taxw,√taxw=t,beach it upon land or a raft,
3954,txwuwulh,tx̌ʷəwəɫ,t≈ø;w;®,√taxw,√taxw=uwulh,beach a canoe or drag it,
3955,txwuwulhtun,tx̌ʷəwəɫtən,t≈ø;w;®t;n,√taxw,√taxw=uwulh=ten,canoe ramp for dragging canoes up the beach or up a waterfall,
3956,tetsul,tecəl,tec;l,√tetsul,√tetsul,"arrive, reach, approach",
3957,te’lutsul,tel̓əcəl,te¬;c;l,√tetsul,√tetsul=PL,arrive: more than one person arrive,
3958,tetutsul’,tetəcəl̓,tet;c;¬,√tetsul,√tetsul=PROG,arriving,
3959,teem,te:m,te:m,√teem,√teem,"call, holler",
